id,name,host_identity_verified,host_name,neighbourhood_group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room_type,construction_year,price,service_fee,minimum_nights,number_of_reviews,review_rate_number,calculated_host_listings_count,availability_365,outlier_mn;
1063194,Cozy Room #3, Landmark Home 1 Block to PRATT,unconfirmed,Miller,Brooklyn,Clinton Hill,40.68698,-73.96572,True,flexible,Private room,2014,761.0,152.0,2,19,4.0,6.0,203.0,not-outlier;
1063746,Beautiful Apartment East Village,verified,Penelope,Manhattan,East Village,40.7288,-73.98192,True,flexible,Entire home/apt,2007,523.0,105.0,7,12,5.0,1.0,35.0,not-outlier;
1073135,ACCOMMODATIONS GALORE #1,unconfirmed,Daniel,Manhattan,Harlem,40.81618,-73.94894,True,flexible,Entire home/apt,2005,449.0,90.0,3,155,3.0,3.0,410.0,not-outlier;
1073687,Sunny Room in New Condo,verified,Victoria,Brooklyn,Clinton Hill,40.68414,-73.96351,False,moderate,Private room,2018,930.0,186.0,3,260,4.0,1.0,388.0,not-outlier;
1074240,Stylish & Sleek Apartment Near SoHo!,verified,Brooke,Manhattan,East Village,40.72392,-73.99143,False,strict,Entire home/apt,2006,329.0,66.0,5,73,4.0,1.0,13.0,not-outlier;
1074792,NYC artists’ loft with roof deck,verified,Lilianna,Brooklyn,Greenpoint,40.73494,-73.9503,False,flexible,Private room,2006,1125.0,225.0,3,193,2.0,1.0,62.0,not-outlier;
1075344,Unique & Charming small 1br Apt. LES,unconfirmed,none,Manhattan,Lower East Side,40.71341,-73.98856,False,moderate,Entire home/apt,2013,1099.0,220.0,3,32,5.0,1.0,62.0,not-outlier;
1075897,Most Central Location!,unconfirmed,none,Manhattan,Hell's Kitchen,40.76754,-73.98399,False,strict,Private room,2013,256.0,51.0,2,50,2.0,3.0,366.0,not-outlier;
1076449,none,unconfirmed,none,Manhattan,West Village,40.73442,-74.00303,False,strict,Entire home/apt,2013,263.0,53.0,29,26,5.0,1.0,338.0,outlier;
1077001,Sanctuary in East Flatbush,unconfirmed,Anna,Brooklyn,Flatlands,40.63188,-73.93248,True,moderate,Private room,2020,96.0,19.0,2,2,4.0,1.0,334.0,not-outlier;
1077553,Room with En Suite Bathroom & Deck,verified,Dominik,Brooklyn,Clinton Hill,40.6873,-73.9634,True,strict,Private room,2021,1192.0,238.0,0,426,3.0,3.0,92.0,not-outlier;
1078106,FLAT MACDONOUGH,unconfirmed,Frederick,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,False,flexible,Entire home/apt,2010,593.0,119.0,0,227,5.0,2.0,10.0,not-outlier;
1078658,Huge Private  Floor at The Waverly,verified,Adrian,Brooklyn,Clinton Hill,40.6863,-73.96765,True,flexible,Private room,2012,490.0,98.0,0,84,2.0,3.0,378.0,not-outlier;
1079210,Modern Greenpoint, Brooklyn Apt,verified,Martin,Brooklyn,Greenpoint,40.73409,-73.95348,False,moderate,Entire home/apt,2016,488.0,98.0,0,0,4.0,1.0,325.0,not-outlier;
1079763,Sun-drenched, artsy modernist 1 BDRM duplex,unconfirmed,Kellan,Brooklyn,Williamsburg,40.71561,-73.94835,True,moderate,Entire home/apt,2004,658.0,132.0,0,10,5.0,1.0,2.0,not-outlier;
1080315,Sunny, Cobble Hill Apartment,unconfirmed,Hailey,Brooklyn,Cobble Hill,40.6857,-73.99183,False,flexible,Entire home/apt,2017,1109.0,222.0,0,4,3.0,1.0,351.0,not-outlier;
1080867,Fully Furnished Basement Apartment,unconfirmed,Dominik,Queens,Flushing,40.74028,-73.83168,True,strict,Private room,2018,606.0,121.0,0,1,4.0,1.0,389.0,not-outlier;
1081420,FLAT MACDONOUGH GARDEN,unconfirmed,Ryan,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,False,moderate,Entire home/apt,2007,853.0,171.0,0,124,2.0,2.0,16.0,not-outlier;
1081972,Light filled Williamsburg Apartment,unconfirmed,Heather,Brooklyn,Williamsburg,40.71596,-73.93938,False,strict,Entire home/apt,2011,172.0,34.0,0,11,3.0,1.0,325.0,not-outlier;
1083629,Cozy BR in Wiliamsburg 3 Bedroom,verified,Bruce,Brooklyn,Williamsburg,40.71165,-73.96087,False,moderate,Private room,2003,1133.0,227.0,3,200,5.0,4.0,166.0,not-outlier;
1084181,Sunny Room in Old Historical Brooklyn Townhouse,unconfirmed,Jessica,Brooklyn,Fort Greene,40.69101,-73.97312,True,strict,Private room,2014,162.0,32.0,8,27,4.0,5.0,18.0,not-outlier;
1084733,Sun Filled Classic West Village Apt,verified,Valeria,Manhattan,West Village,40.73474,-74.00101,False,moderate,Private room,2009,944.0,189.0,4,79,3.0,1.0,130.0,not-outlier;
1085286,Lg Rm in Historic Prospect Heights,unconfirmed,Wilson,Brooklyn,Prospect Heights,40.67386,-73.96641,True,moderate,Private room,2009,505.0,101.0,15,9,2.0,1.0,43.0,outlier;
1085838,Classic Artist Loft Williamsburg,verified,Mike,Brooklyn,Williamsburg,40.71536,-73.96057,True,strict,Private room,2009,113.0,23.0,3,155,2.0,1.0,18.0,not-outlier;
1086390,none,unconfirmed,Dainton,Brooklyn,Prospect Heights,40.6741,-73.96595,False,flexible,Entire home/apt,2020,810.0,162.0,15,4,3.0,1.0,0.0,outlier;
1086943,Private Bdrm/Bathrm. New! Elevator!,unconfirmed,Audrey,Manhattan,East Harlem,40.79295,-73.93997,True,moderate,Private room,2022,370.0,74.0,2,34,5.0,1.0,373.0,not-outlier;
1091913,Luxurious Condo in DUBMO with View,unconfirmed,Edith,Brooklyn,DUMBO,40.70207,-73.98571,True,strict,Private room,2016,385.0,77.0,47,14,2.0,1.0,190.0,outlier;
1092466,Charming & Cozy midtown loft any WEEK ENDS  !!!,verified,Luke,Manhattan,Upper East Side,40.76123,-73.9642,False,flexible,Entire home/apt,2021,950.0,190.0,81,4,1.0,1.0,335.0,outlier;
1093018,* Spacious GARDEN Park Slope Duplex* 6 people max,verified,Nicole,Brooklyn,Gowanus,40.66858,-73.99083,False,strict,Entire home/apt,2021,374.0,75.0,144,80,2.0,1.0,52.0,outlier;
1093570,Convenient cozy cheap apt Manhattan,unconfirmed,Agata,Manhattan,Harlem,40.82704,-73.94907,False,flexible,Entire home/apt,2011,375.0,75.0,365,2,4.0,1.0,70.0,outlier;
1097989,Financial District Luxury Loft,verified,Amy,Manhattan,Financial District,40.70666,-74.01374,False,strict,Entire home/apt,2022,387.0,77.0,268,114,4.0,1.0,320.0,outlier;
1098541,BROOKLYN VICTORIAN STYLE SUITE.....,unconfirmed,Frederick,Brooklyn,Fort Greene,40.69098,-73.97113,False,flexible,Private room,2008,1155.0,231.0,0,213,5.0,2.0,19.0,outlier;
1099093,Your own Lovely West Village Studio,verified,April,Manhattan,West Village,40.73756,-74.00405,False,strict,Entire home/apt,2017,665.0,133.0,189,86,1.0,1.0,293.0,outlier;
1099645,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,verified,Daniel,Manhattan,Harlem,40.81526,-73.94791,True,strict,Entire home/apt,2013,175.0,35.0,30,80,2.0,3.0,58.0,outlier;
1100198,Greenwich Village Stylish Apartment,unconfirmed,Jared,Manhattan,West Village,40.73423,-74.0046,True,strict,Entire home/apt,2012,408.0,82.0,340,38,1.0,1.0,163.0,outlier;
1100750,Clean and Cozy Harlem Apartment,verified,Ashton,Manhattan,Harlem,40.82374,-73.9373,False,strict,Entire home/apt,2019,601.0,120.0,128,18,3.0,1.0,240.0,outlier;
1101302,Fort Greene, Brooklyn: Center Bedroom,unconfirmed,Adele,Brooklyn,Fort Greene,40.68863,-73.97691,False,flexible,Private room,2011,107.0,21.0,350,206,4.0,2.0,96.0,outlier;
1101855,Beautiful Queens Brownstone! - 5BR,unconfirmed,Brad,Queens,Ridgewood,40.70382,-73.89797,True,flexible,Entire home/apt,2011,724.0,145.0,166,10,4.0,5.0,300.0,outlier;
1102407,Couldn't Be Closer To Columbia Uni,unconfirmed,Bruce,Manhattan,Morningside Heights,40.80549,-73.95924,False,strict,Private room,2019,450.0,90.0,110,122,4.0,2.0,420.0,outlier;
1102959,none,unconfirmed,Daniel,Brooklyn,Williamsburg,40.71627,-73.9587,False,strict,Entire home/apt,2004,1153.0,231.0,57,33,4.0,1.0,420.0,outlier;
1103512,Park Slope haven 15 mins from Soho,unconfirmed,Kelsey,Brooklyn,Park Slope,40.67994,-73.97863,False,strict,Entire home/apt,2015,327.0,65.0,142,52,4.0,1.0,83.0,outlier;
1119528,Spacious Williamsburg Share w/ LOFT BED,verified,Perry,Brooklyn,Williamsburg,40.70979,-73.95162,False,strict,Private room,2017,131.0,26.0,4,82,4.0,2.0,361.0,not-outlier;
1120081,Cozy 2 br in sunny Fort Greene apt,unconfirmed,Andrews,Brooklyn,Fort Greene,40.68656,-73.97525,False,strict,Private room,2005,444.0,89.0,3,37,1.0,1.0,341.0,not-outlier;
1120633,Cozy East Village Railroad 1 Bed!,verified,Cooper,Manhattan,East Village,40.72752,-73.98432,False,strict,Entire home/apt,2010,1089.0,218.0,1,204,5.0,1.0,353.0,not-outlier;
1121185,1 Bedroom Loft w/ Private Roof Deck,unconfirmed,Foster,Brooklyn,Greenpoint,40.729,-73.95829,True,strict,Entire home/apt,2017,518.0,104.0,2,69,2.0,1.0,213.0,not-outlier;
1121737,City Room - Private & Comfy Bedroom,verified,Morrison,Manhattan,Harlem,40.81219,-73.94499,True,strict,Private room,2010,220.0,44.0,1,192,5.0,5.0,137.0,not-outlier;
1122290,Elegant NYC Pad,unconfirmed,Bennett,Queens,Ditmars Steinway,40.77185,-73.90502,True,moderate,Entire home/apt,2016,1133.0,227.0,2,17,3.0,1.0,336.0,not-outlier;
1122842,Clean & bright 1BR in Cobble Hill, GREAT location!,unconfirmed,Baker,Brooklyn,Cobble Hill,40.68926,-73.99386,True,strict,Entire home/apt,2021,316.0,63.0,2,222,2.0,1.0,23.0,not-outlier;
1123394,Modern, Large East Village Loft,unconfirmed,Spencer,Manhattan,East Village,40.72821,-73.98701,True,flexible,Entire home/apt,2015,396.0,79.0,3,205,4.0,1.0,19.0,not-outlier;
1123947,Great new apt, close to everything,verified,Ross,Manhattan,Hell's Kitchen,40.7672,-73.98508,False,flexible,Entire home/apt,2020,813.0,163.0,3,94,5.0,1.0,395.0,not-outlier;
1124499,Quiet & Clean Retreat in the City,unconfirmed,Rogers,Manhattan,East Village,40.73012,-73.99053,False,moderate,Entire home/apt,2017,111.0,22.0,3,7,3.0,1.0,410.0,not-outlier;
1125051,Stylish Large Gramercy Loft!,unconfirmed,Martin,Manhattan,Flatiron District,40.7403,-73.98498,True,strict,Entire home/apt,2020,908.0,182.0,2,108,2.0,1.0,78.0,not-outlier;
1125604,The Brownstone-Luxury 1 Bd Apt/NYC,verified,Dixon,Manhattan,Harlem,40.80931,-73.94343,True,moderate,Entire home/apt,2008,823.0,165.0,3,222,5.0,2.0,188.0,not-outlier;
1126156,PRIVATE Room on Historic Sugar Hill,unconfirmed,Allen,Manhattan,Harlem,40.8251,-73.94287,True,flexible,Private room,2011,186.0,37.0,1,458,4.0,2.0,338.0,not-outlier;
1126708,South Slope Green,verified,Murphy,Brooklyn,Windsor Terrace,40.6585,-73.98397,False,strict,Private room,2021,84.0,17.0,2,21,1.0,1.0,66.0,not-outlier;
1127260,17 Flr. Manhattan Views, Nr. Subway,unconfirmed,Clark,Manhattan,Roosevelt Island,40.76193,-73.9501,False,moderate,Private room,2018,241.0,48.0,7,17,4.0,1.0,322.0,not-outlier;
1127813,Spacious 1BR, Adorable Clean Quiet,verified,Montgomery,Manhattan,Lower East Side,40.72052,-73.98589,False,strict,Entire home/apt,2017,54.0,11.0,3,41,3.0,1.0,322.0,not-outlier;
1128365,Nice, clean, safe, convenient 3BR,unconfirmed,Fowler,Queens,Ridgewood,40.70411,-73.89934,True,strict,Entire home/apt,2020,656.0,131.0,14,1,5.0,5.0,80.0,outlier;
1128917,Franklin St Flat in Trendy Greenpoint Brooklyn,unconfirmed,Payne,Brooklyn,Greenpoint,40.73401,-73.95967,True,flexible,Entire home/apt,2018,509.0,102.0,2,69,5.0,1.0,146.0,not-outlier;
1129470,Artistic, Cozy, and Spacious w/ Patio! Sleeps 5,unconfirmed,Adams,Manhattan,Chinatown,40.71756,-73.99503,False,flexible,Entire home/apt,2016,1198.0,240.0,4,18,5.0,2.0,382.0,not-outlier;
1130022,none,unconfirmed,Morrison,Manhattan,Midtown,40.7589,-73.96991,True,flexible,Entire home/apt,2003,588.0,118.0,30,82,1.0,1.0,329.0,outlier;
1130574,none,verified,Miller,Manhattan,SoHo,40.72003,-74.00262,True,strict,Entire home/apt,2014,228.0,46.0,4,94,1.0,1.0,9.0,not-outlier;
1131127,none,unconfirmed,Dixon,Manhattan,Greenwich Village,40.73194,-73.99474,True,moderate,Entire home/apt,2011,874.0,175.0,5,10,4.0,1.0,256.0,not-outlier;
1131679,none,unconfirmed,Cameron,Manhattan,East Harlem,40.79163,-73.94573,False,flexible,Entire home/apt,2020,1052.0,210.0,28,183,2.0,2.0,6.0,outlier;
1132231,City Room - Private Luxury Suite,verified,Clark,Manhattan,Harlem,40.8118,-73.94434,True,moderate,Private room,2011,1127.0,225.0,1,189,3.0,5.0,83.0,not-outlier;
1135545,Huge Chelsea Loft,verified,Thomas,Manhattan,Chelsea,40.74358,-74.00027,False,flexible,Entire home/apt,2006,595.0,119.0,2,35,1.0,1.0,0.0,not-outlier;
1136097,Great room in great location,unconfirmed,Tucker,Manhattan,Harlem,40.80335,-73.9575,False,moderate,Private room,2010,1076.0,215.0,14,10,3.0,2.0,319.0,outlier;
1136650,Exclusive Room with Private Bath in  LES,unconfirmed,Warren,Manhattan,Chinatown,40.71445,-73.9908,False,strict,Private room,2008,956.0,191.0,4,171,5.0,2.0,50.0,not-outlier;
1137202,Quiet, clean midtown apt w. elevato,unconfirmed,Taylor,Manhattan,Midtown,40.75749,-73.96897,True,moderate,Entire home/apt,2015,81.0,16.0,200,92,1.0,1.0,118.0,outlier;
1142725,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,verified,Richardson,Brooklyn,Williamsburg,40.70763,-73.95177,False,moderate,Private room,2019,1164.0,233.0,2,181,1.0,2.0,145.0,not-outlier;
1153219,Charming UWS Treehouse Apt,verified,Owens,Manhattan,Upper West Side,40.77956,-73.98098,False,strict,Entire home/apt,2022,1127.0,225.0,2,210,2.0,1.0,267.0,not-outlier;
1153771,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,unconfirmed,Miller,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,True,strict,Private room,2015,368.0,74.0,5,64,5.0,1.0,300.0,not-outlier;
1154323,Room in S3rd/Bedford, Williamsburg,unconfirmed,Smith,Brooklyn,Williamsburg,40.71368,-73.9626,False,flexible,Private room,2016,679.0,136.0,3,0,2.0,1.0,350.0,not-outlier;
1154875,CHARMING EAST VILLAGE 2 (or 1) BR,unconfirmed,Chapman,Manhattan,East Village,40.72956,-73.98158,False,moderate,Entire home/apt,2012,850.0,170.0,7,5,4.0,1.0,33.0,not-outlier;
1155428,Farmhouse Apartment in Williamsburg,unconfirmed,Owens,Brooklyn,Williamsburg,40.71069,-73.95175,True,moderate,Entire home/apt,2006,1003.0,201.0,10,49,1.0,1.0,407.0,not-outlier;
1155980,Bright+Spacious Williamsburg Abode!,verified,Nelson,Brooklyn,Williamsburg,40.70863,-73.94641,True,moderate,Entire home/apt,2022,875.0,175.0,0,132,5.0,1.0,420.0,not-outlier;
1156532,Suite Sugar Hill, Harlem, Private Rm in Hosted Apt,unconfirmed,Cooper,Manhattan,Harlem,40.82888,-73.94307,True,strict,Private room,2006,953.0,191.0,0,20,3.0,1.0,378.0,not-outlier;
1157085,Beautiful 1 Bedroom Apt Park Slope,verified,Payne,Brooklyn,Park Slope,40.67319,-73.97323,False,flexible,Entire home/apt,2007,720.0,144.0,0,11,5.0,1.0,46.0,not-outlier;
1157637,CHARMING CARROLL GARDENS APT.,verified,Higgins,Brooklyn,Carroll Gardens,40.67846,-73.99443,True,flexible,Entire home/apt,2004,387.0,77.0,0,51,4.0,1.0,101.0,not-outlier;
1158189,Private Bedroom Brownstone Brooklyn,unconfirmed,Thompson,Brooklyn,Crown Heights,40.6715,-73.94808,True,flexible,Private room,2014,662.0,132.0,0,15,5.0,5.0,210.0,not-outlier;
1158742,East Village Loft with Piano & Patio,unconfirmed,Clark,Manhattan,East Village,40.72681,-73.98534,True,moderate,Entire home/apt,2007,375.0,75.0,0,67,2.0,1.0,104.0,not-outlier;
1165369,Prewar Penthouse w Private Terrace,verified,Harris,Manhattan,Upper West Side,40.78971,-73.9729,False,strict,Entire home/apt,2010,544.0,109.0,11,30,4.0,1.0,76.0,not-outlier;
1165921,Designer 2.5 BR Loft in Carroll Gardens by Subway,verified,Ryan,Brooklyn,Carroll Gardens,40.67817,-73.99495,True,flexible,Entire home/apt,2015,523.0,105.0,2,106,5.0,3.0,16.0,not-outlier;
1166474,Bright Beautiful Brooklyn,unconfirmed,Russell,Brooklyn,Greenpoint,40.73119,-73.95578,False,strict,Private room,2011,614.0,123.0,365,6,4.0,1.0,351.0,outlier;
1167026,Unique spacious loft on the Bowery,verified,Farrell,Manhattan,Little Italy,40.71943,-73.99627,True,moderate,Entire home/apt,2013,178.0,36.0,2,191,2.0,1.0,397.0,not-outlier;
1167578,Nice renovated apt, prime location!,verified,Jones,Manhattan,Upper West Side,40.78,-73.98249,False,moderate,Entire home/apt,2008,61.0,12.0,30,48,3.0,1.0,276.0,outlier;
1168131,Brooklyn Writer's Nook,unconfirmed,Morrison,Brooklyn,Bushwick,40.70514,-73.91922,True,strict,Private room,2019,901.0,180.0,5,47,3.0,1.0,68.0,not-outlier;
1168683,Private Bedroom in Large NYC Apartment,unconfirmed,Robinson,Manhattan,Inwood,40.86713,-73.92811,True,moderate,Private room,2012,1189.0,238.0,2,120,4.0,1.0,398.0,not-outlier;
1169235,Large, Sunny Room East Village NYC,unconfirmed,Elliott,Manhattan,East Village,40.73198,-73.98881,False,strict,Private room,2008,783.0,157.0,3,52,4.0,1.0,135.0,not-outlier;
1169788,Great Large 3 BR/2 Bath Duplex with Private Patio!,verified,Morrison,Manhattan,East Village,40.72542,-73.97986,True,strict,Entire home/apt,2009,69.0,14.0,2,48,4.0,4.0,86.0,not-outlier;
1170340,none,unconfirmed,Perry,Manhattan,Washington Heights,40.83494,-73.93869,True,strict,Entire home/apt,2003,1018.0,204.0,3,32,1.0,2.0,412.0,not-outlier;
1171444,none,verified,Thompson,Manhattan,West Village,40.72966,-74.00243,True,strict,Entire home/apt,2010,935.0,187.0,30,39,2.0,1.0,9.0,outlier;
1171997,Gigantic Private Brooklyn Loft!,unconfirmed,Moore,Brooklyn,Greenpoint,40.72898,-73.95552,True,moderate,Entire home/apt,2003,784.0,157.0,1,50,4.0,1.0,47.0,not-outlier;
1172549,Condo Apartment with laundry in unit,verified,Douglas,Bronx,Kingsbridge,40.87207,-73.90193,False,strict,Entire home/apt,2009,55.0,11.0,30,4,5.0,2.0,315.0,outlier;
1173101,1BR: See Central Park from Terrace!,verified,Howard,Manhattan,Upper West Side,40.77728,-73.97818,False,moderate,Entire home/apt,2008,989.0,198.0,13,38,3.0,1.0,105.0,outlier;
1173654,Private room in cozy Greenpoint,verified,Hill,Brooklyn,Greenpoint,40.72646,-73.95341,False,flexible,Private room,2004,1029.0,206.0,3,29,1.0,1.0,87.0,not-outlier;
1174206,Food & Music Dream Apartment in Williamsburg,verified,Chapman,Brooklyn,Williamsburg,40.71015,-73.96101,False,strict,Entire home/apt,2015,291.0,58.0,4,59,3.0,1.0,52.0,not-outlier;
1174758,French Garden cottage off Bedford,verified,Reed,Brooklyn,Williamsburg,40.71903,-73.9597,False,flexible,Entire home/apt,2005,787.0,157.0,1,68,3.0,2.0,189.0,not-outlier;
1175311,none,verified,Perkins,Manhattan,East Harlem,40.80892,-73.93985,True,moderate,Entire home/apt,2016,269.0,54.0,14,26,5.0,3.0,132.0,outlier;
1175863,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,unconfirmed,Henderson,Manhattan,Harlem,40.80276,-73.9567,True,moderate,Entire home/apt,2007,725.0,145.0,14,31,5.0,1.0,81.0,outlier;
1176415,One Bedroom Mini studio - Free WIFI,unconfirmed,Hawkins,Queens,Astoria,40.77635,-73.93426,True,moderate,Entire home/apt,2022,612.0,122.0,2,198,1.0,1.0,42.0,not-outlier;
1176967,none,verified,Barnes,Brooklyn,Greenpoint,40.72488,-73.95018,True,flexible,Private room,2018,920.0,184.0,2,1,3.0,1.0,73.0,not-outlier;
1178072,Bright Cozy Chinatown Studio Apt.,unconfirmed,Stewart,Manhattan,Lower East Side,40.71876,-73.98394,False,flexible,Entire home/apt,2017,824.0,165.0,3,286,1.0,1.0,177.0,not-outlier;
1178624,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,verified,Carroll,Brooklyn,South Slope,40.66552,-73.99019,True,flexible,Entire home/apt,2011,1038.0,208.0,2,398,5.0,3.0,245.0,not-outlier;
1179177,none,verified,Rogers,Brooklyn,Greenpoint,40.73749,-73.95292,True,strict,Private room,2004,1074.0,215.0,3,36,1.0,28.0,272.0,not-outlier;
1179729,Hells Kitchen Garden of Eden,verified,Ellis,Manhattan,Hell's Kitchen,40.76248,-73.9913,True,flexible,Private room,2014,72.0,14.0,3,36,1.0,1.0,386.0,not-outlier;
1180281,Historic House Boerum Hill, BK, NYC,verified,Wright,Brooklyn,Boerum Hill,40.68674,-73.98876,True,moderate,Entire home/apt,2013,162.0,32.0,4,6,5.0,1.0,247.0,not-outlier;
1180834,Lovely 3 bedroom in Italianate Brownstone w/garden,verified,Mason,Brooklyn,Clinton Hill,40.6848,-73.96219,False,flexible,Entire home/apt,2006,701.0,140.0,6,14,4.0,1.0,394.0,not-outlier;
1181386,Williamsburg HUGE, PRIVATE BATH - Next to Train!,unconfirmed,Ross,Brooklyn,Williamsburg,40.70516,-73.95455,True,moderate,Private room,2021,566.0,113.0,14,76,5.0,6.0,179.0,outlier;
1196298,Lovely 1BR in Tree-lined WBurg,verified,Harrison,Brooklyn,Williamsburg,40.71055,-73.95098,True,moderate,Entire home/apt,2014,56.0,11.0,0,13,1.0,1.0,95.0,not-outlier;
1196850,Spacious Loft in Clinton Hill,unconfirmed,Johnston,Brooklyn,Bedford-Stuyvesant,40.69465,-73.95458,False,moderate,Entire home/apt,2020,1047.0,209.0,0,4,2.0,1.0,154.0,not-outlier;
1197403,The Brooklyn Waverly, One Bedroom,unconfirmed,Thomas,Brooklyn,Clinton Hill,40.68413,-73.96542,True,moderate,Private room,2021,643.0,129.0,0,11,3.0,3.0,9.0,not-outlier;
1197955,LOVELY APARTMENT IN THE HEART OF NY,unconfirmed,Davis,Manhattan,Kips Bay,40.73877,-73.97707,True,flexible,Entire home/apt,2007,943.0,189.0,0,1,1.0,3.0,214.0,not-outlier;
1198507,none,unconfirmed,Turner,Manhattan,Chelsea,40.74893,-73.99544,True,moderate,Entire home/apt,2003,1152.0,230.0,0,19,5.0,1.0,204.0,not-outlier;
